,Código,Cod,Nome Comercial,Div. Yeld,P/VP
657,PATI3,"""PATI3"",",PANATLANTICA,"2,6%","1,88"
658,PATI4,"""PATI4"",",PANATLANTICA,"3,0%","1,63"
659,PCAR3,"""PCAR3"",",PÃO DE AÇÚCAR,"9,6%","0,46"
660,PCAR4,"""PCAR4"",",PÃO DE AÇÚCAR,"0,0%","1,47"
661,PCAR5,"""PCAR5"",",PÃO DE AÇÚCAR,"0,0%","1,36"
662,PDGR3,"""PDGR3"",",PDG REALT,"0,0%","-0,0"
663,PDTC3,"""PDTC3"",",PADTEC,"0,0%","3,92"
664,PEAB3,"""PEAB3"",",CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,"17,4","1,02"
665,PEAB4,"""PEAB4"",",CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,"16,6","1,18"
666,PEFX3,"""PEFX3"",",PETROFLEX INDÚSTRIA E COMÉRCIO S.A,"0,0%","1,68"
667,PEFX5,"""PEFX5"",",PETROFLEX INDÚSTRIA E COMÉRCIO S.A,"0,0%","1,68"
668,PETR3,"""PETR3"",",PETROBRAS,"15,9","1,26"
669,PETR4,"""PETR4"",",PETROBRAS,"17,4","1,15"
670,PETZ3,"""PETZ3"",",PETZ,"0,2%","13,8"
671,PFRM3,"""PFRM3"",",PROFARMA,"5,4%","0,56"
672,PGMN3,"""PGMN3"",",PAGUE MENOS,"0,0%","1,99"
673,PINE3,"""PINE3"",",Pine,"0,0%","0,00"
674,PINE4,"""PINE4"",",Pine,"0,0%","0,32"
675,PITI4,"""PITI4"",","AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR","0,0%","0,00"
676,PLAS3,"""PLAS3"",",PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,"0,0%","-0,4"
677,PLDN4,"""PLDN4"",",POLIALDEN,"0,0%","1,08"
678,PLIM4,"""PLIM4"",",NET SERVIÇOS DE COMUNICAÇÃO S.A.,"0,0%","0,03"
679,PLPL3,"""PLPL3"",",PLANOEPLANO,"5,2%","2,35"
680,PLTO5,"""PLTO5"",",POLITENO IND E COMERCIO S.A.,"0,0%",723.
681,PLTO6,"""PLTO6"",",POLITENO IND E COMERCIO S.A.,"0,0%",692.
682,PMAM3,"""PMAM3"",",PARANAPANEMA S.A.,"0,0%","-0,4"
683,PMAM4,"""PMAM4"",",PARANAPANEMA S.A.,"0,0%","-0,3"
684,PMET3,"""PMET3"",",PRO METALURG,"0,0%","0,00"
685,PMET5,"""PMET5"",",PRO METALURG,"0,0%","-0,1"
686,PMET6,"""PMET6"",",PRO METALURG,"0,0%","-0,0"
687,PNOR5,"""PNOR5"",",PRONOR,"0,0%","0,55"
688,PNOR6,"""PNOR6"",",PRONOR,"0,0%","0,55"
689,PNVL3,"""PNVL3"",",PANVEL FARMÁCIAS,"1,2%","2,05"
690,PNVL4,"""PNVL4"",",PANVEL FARMÁCIAS,"0,0%","2,72"
691,POMO3,"""POMO3"",",MARCOPOLO,"3,9%","0,91"
692,POMO4,"""POMO4"",",MARCOPOLO,"3,3%","1,10"
693,POPR4,"""POPR4"",",POLIPROPILENO S.A.,"0,0%","0,00"
694,PORP4,"""PORP4"",",POLIPROPILENO PARTICIPAÇÕES S.A.,"0,0%","0,00"
695,PORT3,"""PORT3"",",WILSON SONS,"0,0%","2,09"
696,POSI3,"""POSI3"",",POSITIVO INF,"3,6%","1,14"
697,POWE3,"""POWE3"",",FOCUS ON,"0,5%","0,99"
698,PQUN3,"""PQUN3"",",PETROQUIMICA UNIAO S.A.,"0,0%","1,88"
699,PQUN4,"""PQUN4"",",PETROQUIMICA UNIAO S.A.,"0,0%","1,88"
700,PRBC3,"""PRBC3"",",Parana,"0,0%","0,00"
701,PRBC4,"""PRBC4"",",Parana,"0,0%","35,0"
702,PRGA4,"""PRGA4"",",BRF Foods,"0,0%","8,02"
703,PRIO3,"""PRIO3"",",PETRORIO,"0,0%","3,57"
704,PRML3,"""PRML3"",",PRUMO,"0,0%","1,98"
705,PRNR3,"""PRNR3"",",PRINER,"0,8%","1,11"
706,PRTX3,"""PRTX3"",",PORTX,"0,0%",-145
707,PRVI3,"""PRVI3"",",Providencia,"0,0%","1,61"
708,PSSA3,"""PSSA3"",",PORTO SEGURO SA,"6,6%","1,41"
709,PTBL3,"""PTBL3"",",PORTOBELLO S/A,"11,4","3,56"
710,PTBL4,"""PTBL4"",",PORTOBELLO S/A,"0,0%","1,02"
711,PTIP3,"""PTIP3"",",IPIRANGA PETROQUIMICA SA,"0,0%","0,00"
712,PTIP4,"""PTIP4"",",IPIRANGA PETROQUIMICA SA,"0,0%","0,00"
713,PTNT3,"""PTNT3"",",PETTENATI,"1,7%","1,96"
714,PTNT4,"""PTNT4"",",PETTENATI,"3,2%","1,01"
715,PTPA3,"""PTPA3"",",PETROPAR SA,"0,0%","1,14"
716,PTPA4,"""PTPA4"",",PETROPAR SA,"0,0%","1,19"
717,PTQS4,"""PTQS4"",",PETROQUISA,"0,0%","2,19"
718,QUAL3,"""QUAL3"",",QUALICORP,"11,3","3,12"
719,RADL3,"""RADL3"",",RAIADROGASIL,"1,0%","7,98"
720,RAIA3,"""RAIA3"",",RAIA,"0,0%","2,98"
721,RAIL3,"""RAIL3"",",RUMO S.A.,"0,0%","1,88"
722,RAIZ4,"""RAIZ4"",",RAIZEN,"0,0%","3,54"
723,RANI3,"""RANI3"",",CELULOSE IRANI,"5,7%","1,68"
724,RANI4,"""RANI4"",",CELULOSE IRANI,"0,0%","1,48"
725,RAPT3,"""RAPT3"",",RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,"5,4%","1,65"
726,RAPT4,"""RAPT4"",",RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,"5,8%","1,53"
727,RCSL3,"""RCSL3"",",RECRUSUL,"0,0%","-6,8"
728,RCSL4,"""RCSL4"",",RECRUSUL,"0,0%","-2,1"
729,RCTB31,"""RCTB31"",",TELEBRAS,"0,0%","0,00"
730,RCTB33,"""RCTB33"",",TELEBRAS,"0,0%","0,00"
731,RCTB41,"""RCTB41"",",TELEBRAS,"0,0%","0,00"
732,RCTB42,"""RCTB42"",",TELEBRAS,"0,0%","0,00"
733,RDCD3,"""RDCD3"",",Redecard,"0,0%","14,7"
734,RDNI3,"""RDNI3"",",RNI,"0,1%","0,66"
735,RDOR3,"""RDOR3"",",REDE D OR,"2,9%","6,42"
736,RDTR3,"""RDTR3"",",REDENTOR,"0,0%","1,37"
737,RECV3,"""RECV3"",",PETRORECONCA,"0,0%","2,81"
738,REDE3,"""REDE3"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,"14,6","3,81"
739,REDE4,"""REDE4"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,"0,0%","1,65"
740,REEM4,"""REEM4"",",RHEEM EMPRS,"0,0%","-0,0"
741,RENT3,"""RENT3"",",LOCALIZA RENT A CAR,"0,8%","5,94"
742,REPA3,"""REPA3"",",ELECTROLUX,"0,0%","0,00"
743,REPA4,"""REPA4"",",ELECTROLUX,"0,0%","0,00"
744,RGEG3,"""RGEG3"",",RGE - RIO GRANDE ENERGIA,"0,0%","1,60"
745,RHDS3,"""RHDS3"",",M G POLIEST,"0,0%","3,24"
746,RHDS4,"""RHDS4"",",M G POLIEST,"0,0%","29,5"
747,RIPI3,"""RIPI3"",",REFINARIA DE PETRÓLEO IPIRANGA SA,"0,0%","-28,"
748,RIPI4,"""RIPI4"",",REFINARIA DE PETRÓLEO IPIRANGA SA,"0,0%","-29,"
749,RJCP3,"""RJCP3"",",RJCP EQUITY,"0,0%","0,65"
750,RLOG3,"""RLOG3"",",COSAN LOG,"0,0%","4,26"
751,RNEW11,"""RNEW11"",",RENOVA,"0,0%","-0,3"
752,RNEW3,"""RNEW3"",",RENOVA,"0,0%","-0,3"
753,RNEW4,"""RNEW4"",",RENOVA,"0,0%","-0,3"
754,RNPT3,"""RNPT3"",",RENNER PARTICIPAÇÕES S/A,"0,0%","0,39"
755,RNPT4,"""RNPT4"",",RENNER PARTICIPAÇÕES S/A,"0,0%","0,39"
756,ROMI3,"""ROMI3"",",ROMI,"4,7%","1,26"
757,ROMI4,"""ROMI4"",",ROMI,"0,0%","14,0"
758,RPAD3,"""RPAD3"",",ALFA HOLDINGS,"0,0%","0,51"
759,RPAD5,"""RPAD5"",",ALFA HOLDINGS,"6,9%","0,67"
760,RPAD6,"""RPAD6"",",ALFA HOLDINGS,"0,0%","0,36"
761,RPMG3,"""RPMG3"",",REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,"0,0%","-0,0"
762,RPMG4,"""RPMG4"",",REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,"0,0%","-0,0"
763,RPSA4,"""RPSA4"",",RIPASA,"0,0%","1,55"
764,RRRP3,"""RRRP3"",",3R PETROLEUM,"0,0%","4,05"
765,RSID3,"""RSID3"",",ROSSI RESIDENCIAL,"0,0%","-0,2"
766,RSIP3,"""RSIP3"",",RASIP AGRO PASTORIL,"0,0%","1,32"
767,RSIP4,"""RSIP4"",",RASIP AGRO PASTORIL,"0,0%","1,32"
768,RSUL4,"""RSUL4"",",METALURGICA RIOSULENSE S/A,"0,0%","6,54"
769,SALM3,"""SALM3"",",SEARA ALIMENTOS,"0,0%","0,00"
770,SALM4,"""SALM4"",",SEARA ALIMENTOS,"0,0%","0,00"
771,SANB11,"""SANB11"",",SANTANDER,"8,6%","1,51"
772,SANB3,"""SANB3"",",SANTANDER,"8,7%","1,42"
773,SANB4,"""SANB4"",",SANTANDER,"8,4%","1,61"
774,SAPR11,"""SAPR11"",",SANEPAR,"5,6%","0,78"
775,SAPR3,"""SAPR3"",",SANEPAR,"5,3%","0,76"
776,SAPR4,"""SAPR4"",",SANEPAR,"5,6%","0,79"
777,SASG3,"""SASG3"",",SUL AMERICA SEGUROS,"0,0%","0,00"
778,SBFG3,"""SBFG3"",",GRUPO SBF,"0,0%","2,78"
779,SBSP3,"""SBSP3"",",SABESP,"1,1%","1,02"
780,SCAR3,"""SCAR3"",",SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,"1,0%","1,39"
781,SCAR4,"""SCAR4"",",SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,"0,0%","0,00"
782,SCLO3,"""SCLO3"",",SCHLOSSER TECIDOS,"0,0%","-84,"
783,SCLO4,"""SCLO4"",",SCHLOSSER TECIDOS,"0,0%","-2,4"
784,SDIA3,"""SDIA3"",",SADIA,"0,0%","9,41"
785,SDIA4,"""SDIA4"",",SADIA,"0,0%","9,41"
786,SEBB11,"""SEBB11"",",SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,"0,0%","6,44"
787,SEBB3,"""SEBB3"",",SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,"0,0%","0,00"
788,SEBB4,"""SEBB4"",",SEB - SISTEMA EDUCACIONAL BRASILEIRO S/A,"0,0%","0,00"
789,SEDU3,"""SEDU3"",",SOMOS EDUCA,"0,0%","15,0"
790,SEER3,"""SEER3"",",SER EDUCA,"1,8%","1,04"
791,SEMP3,"""SEMP3"",",SEMP TOSHIBA,"0,0%","1,36"
792,SEQL3,"""SEQL3"",",SEQUOIA LOG,"0,0%","3,43"
793,SFSA3,"""SFSA3"",",Sofisa,"0,0%","0,00"
794,SFSA4,"""SFSA4"",",Sofisa,"0,0%","0,82"
795,SGEN3,"""SGEN3"",",SERGEN,"0,0%","0,77"
796,SGEN4,"""SGEN4"",",SERGEN,"0,0%","0,09"
797,SGPS3,"""SGPS3"",",Springs,"0,0%","0,28"
798,SHOW3,"""SHOW3"",",TIME FOR FUN,"0,0%","1,59"
799,SHUL4,"""SHUL4"",",SCHULZ,"2,2%","1,82"
800,SIMH3,"""SIMH3"",",SIMPAR,"1,4%","2,75"
801,SJOS3,"""SJOS3"",",SÃO JOSÉ,"0,0%","-0,1"
802,SJOS4,"""SJOS4"",",SÃO JOSÉ,"0,0%","-0,0"
803,SLCE3,"""SLCE3"",",SLC Agricola,"2,0%","2,78"
804,SLCP3,"""SLCP3"",",SULACAP,"0,0%","0,00"
805,SLED3,"""SLED3"",",EDITORA SARAIVA,"0,0%","-0,0"
806,SLED4,"""SLED4"",",EDITORA SARAIVA,"0,0%","-0,0"
807,SMFT3,"""SMFT3"",",SMART FIT,"0,0%","2,21"
808,SMLE3,"""SMLE3"",",SMILES,"0,0%","21,9"
809,SMLS3,"""SMLS3"",",SMILES,"18,0","4,09"
810,SMTO3,"""SMTO3"",",SAO MARTINHO,"6,3%","2,91"
811,SNSY5,"""SNSY5"",",SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,"0,0%","-0,0"
812,SOJA3,"""SOJA3"",",BOA SAFRA,"0,0%","2,64"
813,SOMA3,"""SOMA3"",",GRUPO SOMA,"0,0%","1,54"
814,SOND3,"""SOND3"",",SONDOTECNICA S/A.,"19,1","1,63"
815,SOND5,"""SOND5"",",SONDOTECNICA S/A.,"22,2","1,54"
816,SOND6,"""SOND6"",",SONDOTECNICA S/A.,"23,7","1,44"
817,SPRI3,"""SPRI3"",",SPRINGER,"0,0%","1,19"
818,SPRI5,"""SPRI5"",",SPRINGER,"0,0%","0,96"
819,SPRI6,"""SPRI6"",",SPRINGER,"0,0%","1,24"
820,SQIA3,"""SQIA3"",",SINQIA,"0,1%","2,10"
821,STBP11,"""STBP11"",",SBPAR,"0,0%","1,10"
822,STBP3,"""STBP3"",",SBPAR,"3,6%","2,72"
823,STRP4,"""STRP4"",",STAROUP,"0,0%","-0,4"
824,SUBA3,"""SUBA3"",",,"0,0%","8,39"
825,SULA11,"""SULA11"",",Sul America,"0,9%","1,28"
826,SULA3,"""SULA3"",",Sul America,"0,9%","1,30"
827,SULA4,"""SULA4"",",Sul America,"0,9%","1,27"
828,SULT3,"""SULT3"",",CONSTRUTORA SULTEPA S/A,"0,0%","0,02"
829,SULT4,"""SULT4"",",CONSTRUTORA SULTEPA S/A,"0,0%","0,02"
830,SUZA4,"""SUZA4"",",SUZANO HOLDING S.A.,"0,0%","0,60"
831,SUZB3,"""SUZB3"",",Suzano Papel,"1,3%","5,97"
832,SUZB5,"""SUZB5"",",Suzano Papel,"0,0%","2,13"
833,SUZB6,"""SUZB6"",",Suzano Papel,"0,0%","1,80"
834,SYNE3,"""SYNE3"",",SYN PROP TEC,"1,1%","0,66"
835,SZPQ4,"""SZPQ4"",",SUZANO PETROQUIMICA S.A.,"0,0%","2,20"
836,TAEE11,"""TAEE11"",",TAESA,"12,0","1,87"
837,TAEE3,"""TAEE3"",",TAESA,"11,9","1,89"
838,TAEE4,"""TAEE4"",",TAESA,"12,0","1,87"
839,TAMM3,"""TAMM3"",",TAM,"0,0%","3,79"
840,TAMM4,"""TAMM4"",",TAM,"0,0%","3,80"
841,TANC4,"""TANC4"",",TAM,"0,0%","3,10"
842,TARP11,"""TARP11"",",TARPON,"0,0%","0,25"
843,TASA3,"""TASA3"",",TAURUS ARMAS,"0,0%","4,35"
844,TASA4,"""TASA4"",",TAURUS ARMAS,"0,0%","4,12"
845,TBLE5,"""TBLE5"",",ENGIE BRASIL,"0,0%","1,24"
846,TBLE6,"""TBLE6"",",ENGIE BRASIL,"0,0%","1,10"
847,TCNO3,"""TCNO3"",",TECNOSOLO S/A,"0,0%","-21,"
848,TCNO4,"""TCNO4"",",TECNOSOLO S/A,"0,0%","-15,"
849,TCOC3,"""TCOC3"",",TELE CENTRO OESTE CELULAR PARTICIP. S/A,"0,0%","1,80"
850,TCOC4,"""TCOC4"",",TELE CENTRO OESTE CELULAR PARTICIP. S/A,"0,0%","1,26"
851,TCSA3,"""TCSA3"",",TECNISA,"0,0%","0,43"
852,TCSL4,"""TCSL4"",",TIM PARTICIPAÇÕES S.A.,"0,0%","0,83"
853,TDBH3,"""TDBH3"",",TELEFÔNICA EMPRESAS S.A,"0,0%","1,08"
854,TDBH4,"""TDBH4"",",TELEFÔNICA EMPRESAS S.A,"0,0%","1,28"
855,TECN3,"""TECN3"",",TECHNOS,"3,2%","0,61"
856,TEFC11,"""TEFC11"",",TELEFÓNICA,"0,0%","0,00"
857,TEKA3,"""TEKA3"",",TEKA S.A.,"0,0%","-0,0"
858,TEKA4,"""TEKA4"",",TEKA S.A.,"0,0%","-0,0"
859,TELB3,"""TELB3"",",TELEBRAS,"0,0%","1,83"
860,TELB4,"""TELB4"",",TELEBRAS,"0,0%","0,72"
861,TEMP3,"""TEMP3"",",TEMPO PART,"0,0%","4,92"
862,TEND3,"""TEND3"",",Tenda,"1,2%","1,08"
863,TENE5,"""TENE5"",",TECBLU,"0,0%","-0,0"
864,TENE7,"""TENE7"",",TECBLU,"0,0%","-0,0"
865,TERI3,"""TERI3"",",TEREOS,"0,0%","0,29"
866,TESA3,"""TESA3"",",TERRA SANTA,"0,0%","1,62"
867,TFCO4,"""TFCO4"",",TRACK FIELD,"5,4%","7,19"
868,TGMA3,"""TGMA3"",",Tegma,"5,3%","1,47"
869,TIET11,"""TIET11"",",AES TIETE E,"0,1%","3,13"
870,TIET3,"""TIET3"",",AES TIETE E,"0,1%","3,13"
871,TIET4,"""TIET4"",",AES TIETE E,"0,1%","3,15"
872,TIMP3,"""TIMP3"",",TIM PARTICIPAÇÕES S.A.,"0,0%","1,43"
873,TIMS3,"""TIMS3"",",TIM,"3,3%","1,29"
874,TKNO4,"""TKNO4"",",TEKNO,"6,7%","0,65"
875,TLCP3,"""TLCP3"",",TELE LESTE CELULAR PARTICIPAÇÕES SA,"0,0%","1,76"
876,TLCP4,"""TLCP4"",",TELE LESTE CELULAR PARTICIPAÇÕES SA,"0,0%","1,25"
877,TMAR3,"""TMAR3"",",TELEMAR,"0,0%","1,04"
878,TMAR5,"""TMAR5"",",TELEMAR,"0,0%","0,72"
879,TMAR6,"""TMAR6"",",TELEMAR,"0,0%","0,71"
880,TMCP3,"""TMCP3"",",TELEMIG CELULAR PARTICIPAÇÕES S.A.,"0,0%","1,38"
881,TMCP4,"""TMCP4"",",TELEMIG CELULAR PARTICIPAÇÕES S.A.,"0,0%","1,44"
882,TMGC11,"""TMGC11"",",TELEMIG CELULAR,"0,0%","1,83"
883,TMGC12,"""TMGC12"",",TELEMIG CELULAR,"0,0%","1,12"
884,TMGC13,"""TMGC13"",",TELEMIG CELULAR,"0,0%","1,96"
885,TMGC3,"""TMGC3"",",TELEMIG CELULAR,"0,0%","3,05"
886,TMGC7,"""TMGC7"",",TELEMIG CELULAR,"0,0%","1,63"
887,TNCP3,"""TNCP3"",",AMAZÔNIA CELULAR,"0,0%","2,52"
888,TNCP4,"""TNCP4"",",AMAZÔNIA CELULAR,"0,0%","2,49"
889,TNEP3,"""TNEP3"",",TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,"0,0%","0,00"
890,TNEP4,"""TNEP4"",",TELE NORDESTE CELULAR PARTICIPAÇÕES S.A.,"0,0%","0,00"
891,TNLP3,"""TNLP3"",",TELEMAR,"0,0%","0,96"
892,TNLP4,"""TNLP4"",",TELEMAR,"0,0%","0,71"
893,TOTS3,"""TOTS3"",",TOTVS,"1,0%","4,22"
894,TOYB3,"""TOYB3"",",TEC TOY,"0,0%","-4,9"
895,TOYB4,"""TOYB4"",",TEC TOY,"0,0%","-5,4"
896,TPIS3,"""TPIS3"",",TRIUNFO PARTICIPACOES SA,"2,1%","0,38"
897,TPRC3,"""TPRC3"",",TIM PARTICIPAÇÕES S.A.,"0,0%","0,01"
898,TPRC6,"""TPRC6"",",TIM PARTICIPAÇÕES S.A.,"0,0%","0,01"
899,TRAD3,"""TRAD3"",",TC,"0,0%","2,32"
900,TRFO3,"""TRFO3"",",TRAFO,"0,0%","2,58"
901,TRFO4,"""TRFO4"",",TRAFO,"0,0%","2,68"
902,TRIS3,"""TRIS3"",",Trisul,"3,8%","0,96"
903,TROR3,"""TROR3"",",TRORION,"0,0%","-0,0"
904,TROR4,"""TROR4"",",TRORION,"0,0%","-0,0"
905,TRPL3,"""TRPL3"",",TRANSMISSÃO PAULISTA,"11,8","1,38"
906,TRPL4,"""TRPL4"",",TRANSMISSÃO PAULISTA,"15,0","1,09"
907,TRPN3,"""TRPN3"",",TARPON INV,"104,","0,54"
908,TSEP3,"""TSEP3"",",TELE SUDESTE CELULAR PART SA,"0,0%","1,79"
909,TSEP4,"""TSEP4"",",TELE SUDESTE CELULAR PART SA,"0,0%","1,30"
910,TSPP3,"""TSPP3"",",VIVO PARTICIPAÇÕES,"0,0%","0,51"
911,TSPP4,"""TSPP4"",",VIVO PARTICIPAÇÕES,"0,0%","0,37"
912,TTEN3,"""TTEN3"",",3TENTOS,"0,0%","2,40"
913,TUPY3,"""TUPY3"",",TUPY,"2,1%","1,10"
914,TUPY4,"""TUPY4"",",TUPY,"0,0%","2,58"
915,TVIT3,"""TVIT3"",",TIVIT,"0,0%","5,45"
916,TXRX3,"""TXRX3"",",RENAUX,"0,0%","-0,4"
917,TXRX4,"""TXRX4"",",RENAUX,"0,0%","-0,0"
918,UBBR11,"""UBBR11"",",UNIBANCO SA,"0,0%","3,91"
919,UBBR3,"""UBBR3"",",UNIBANCO SA,"0,0%","4,77"
920,UBBR4,"""UBBR4"",",UNIBANCO SA,"0,0%","1,99"
921,UCAS3,"""UCAS3"",",UNICASA,"5,5%","1,56"
922,UCOP4,"""UCOP4"",",USINA COSTA PINTO S/A AÇÚCAR E ÁLCOOL,"0,0%","1,30"
923,UGPA3,"""UGPA3"",",ULTRAPAR PARTICIPAÇÕES SA,"4,4%","1,64"
924,UGPA4,"""UGPA4"",",ULTRAPAR PARTICIPAÇÕES SA,"0,0%","3,08"
925,UNIP3,"""UNIP3"",",UNIPAR PARTICIPAÇÕES S.A.,"14,8","3,53"
926,UNIP5,"""UNIP5"",",UNIPAR PARTICIPAÇÕES S.A.,"15,9","3,61"
927,UNIP6,"""UNIP6"",",UNIPAR PARTICIPAÇÕES S.A.,"15,7","3,67"
928,UOLL4,"""UOLL4"",",UOL,"0,0%","2,35"
929,USIM3,"""USIM3"",",USIMINAS,"8,4%","0,96"
930,USIM5,"""USIM5"",",USIMINAS,"8,6%","1,03"
931,USIM6,"""USIM6"",",USIMINAS,"8,0%","1,11"
932,VAGV3,"""VAGV3"",",SAVIRG,"0,0%","-0,0"
933,VAGV4,"""VAGV4"",",SAVIRG,"0,0%","-0,0"
934,VALE3,"""VALE3"",",VALE,"17,6","2,43"
935,VALE5,"""VALE5"",",VALE,"0,0%","0,94"
936,VAMO3,"""VAMO3"",",VAMOS,"1,6%","4,46"
937,VBBR3,"""VBBR3"",",VIBRA,"9,1%","2,31"
938,VCPA4,"""VCPA4"",",Fibria,"0,0%","1,02"
939,VGOR3,"""VGOR3"",",VIGOR,"0,0%","0,00"
940,VGOR4,"""VGOR4"",",VIGOR,"0,0%","7,18"
941,VIGR3,"""VIGR3"",",VIGOR FOOD,"0,0%","2,55"
942,VIIA3,"""VIIA3"",",VIA,"0,0%","1,24"
943,VINE3,"""VINE3"",",VICUNHA TEXTIL SA,"0,0%","0,65"
944,VINE5,"""VINE5"",",VICUNHA TEXTIL SA,"0,0%","0,67"
945,VITT3,"""VITT3"",",VITTIA,"0,7%","4,73"
946,VIVA3,"""VIVA3"",",VIVARA S.A.,"1,3%","4,57"
947,VIVO3,"""VIVO3"",",VIVO PARTICIPAÇÕES,"0,0%","2,69"
948,VIVO4,"""VIVO4"",",VIVO PARTICIPAÇÕES,"0,0%","2,93"
949,VIVR3,"""VIVR3"",",VIVER,"0,0%","-1,4"
950,VIVT3,"""VIVT3"",",TELEF BRASIL,"7,0%","1,21"
951,VIVT4,"""VIVT4"",",TELEF BRASIL,"0,0%","1,11"
952,VLID3,"""VLID3"",",VALID,"3,0%","0,65"
953,VNET3,"""VNET3"",",CIELO,"0,0%","0,00"
954,VPSC3,"""VPSC3"",",VPSC,"0,0%","2,59"
955,VPSC4,"""VPSC4"",",VPSC,"0,0%","4,30"
956,VPTA3,"""VPTA3"",",VPTA,"0,0%","-0,0"
957,VPTA4,"""VPTA4"",",VPTA,"0,0%","-0,0"
958,VSPT3,"""VSPT3"",",FERROVIA CENTRO-ATLÂNTICA S.A.,"0,0%","0,00"
959,VSPT4,"""VSPT4"",",FERROVIA CENTRO-ATLÂNTICA S.A.,"0,0%","0,00"
960,VTLM3,"""VTLM3"",",ADVANCED-DH,"0,0%","-0,6"
961,VULC3,"""VULC3"",",VULCABRAS S/A.,"3,8%","1,80"
962,VULC4,"""VULC4"",",VULCABRAS S/A.,"0,0%","3,47"
963,VVAR11,"""VVAR11"",",VIA,"0,0%","1,37"
964,VVAR4,"""VVAR4"",",VIA,"0,0%","1,36"
965,VVAX3,"""VVAX3"",",VIVAX SA,"0,0%","0,00"
966,VVAX4,"""VVAX4"",",VIVAX SA,"0,0%","0,00"
967,VVEO3,"""VVEO3"",",VIVEO,"0,0%","2,26"
968,WEGE3,"""WEGE3"",",WEG SA,"1,3%","10,4"
969,WEGE4,"""WEGE4"",",WEG SA,"0,0%","5,30"
970,WEST3,"""WEST3"",",WESTWING,"0,0%","1,01"
971,WHRL3,"""WHRL3"",",WHIRLPOOL S.A.,"9,2%","3,80"
972,WHRL4,"""WHRL4"",",WHIRLPOOL S.A.,"9,2%","4,20"
973,WISA3,"""WISA3"",",WIEST SA,"0,0%","-0,0"
974,WISA4,"""WISA4"",",WIEST SA,"0,0%","-0,0"
975,WIZS3,"""WIZS3"",",WIZ S.A.,"7,3%","3,43"
976,WLMM3,"""WLMM3"",",WLM,"2,0%","2,33"
977,WLMM4,"""WLMM4"",",WLM,"2,4%","2,12"
978,WMBY3,"""WMBY3"",",WEMBLEY SOCIEDADE ANÔNIMA,"0,0%","2,87"
979,WSON33,"""WSON33"",",Wilson Sons,"4,3%","2,27"
980,YDUQ3,"""YDUQ3"",",YDUQS PART,"2,1%","2,03"
